massPhi	mass_S1	mass_S2	ctau	nevents	efficiency
200	50	50	35.2970730273065	10000	8.280861100000001e-05
200	50	50	36.543830709572546	10000	3.75494166e-05
200	50	50	37.83462617131929	10000	3.3412172467e-05
200	50	50	39.171014908092566	10000	1.4457820900000003e-05
200	50	50	40.554607358408276	10000	5.2406236e-05
200	50	50	41.9870708444391	10000	4.23417611e-05
200	50	50	43.47013158125022	10000	1.2635803000000002e-05
200	50	50	45.005576757004974	10000	3.0548435e-05
200	50	50	46.59525668664677	10000	4.8177662999999997e-05
200	50	50	48.241087041653685	10000	5.41858767e-05
200	50	50	49.9450511585514	10000	2.8404369467e-05
200	50	50	51.70920242896755	10000	7.948339764999999e-05
200	50	50	53.53566677410724	10000	5.7595471e-06
200	50	50	55.426645206631015	10000	2.7101789000000005e-05
200	50	50	57.38441648302393	10000	4.6523294999999995e-05
200	50	50	59.41133984965034	10000	5.1069400000000004e-06
200	50	50	61.50985788580498	10000	1.8637700000000003e-05
200	50	50	63.68249944718586	10000	6.182654567e-06
200	50	50	65.93188271333541	10000	5.2669011e-05
200	50	50	68.26071834272386	10000	1.9960390000000005e-06
200	50	50	70.67181273927491	10000	9.973756e-06
200	50	50	73.16807143427192	10000	3.941433999999999e-06
200	50	50	75.75250258771912	10000	4.256375999999999e-06
200	50	50	78.42822061337682	10000	1.1940159999999997e-06
200	50	50	81.19844993184009	10000	1.8383040099999998e-05
200	50	50	84.06652885618325	10000	3.6407829999999997e-06
200	50	50	87.03591361485157	10000	4.38190917e-05
200	50	50	90.11018251665018	10000	2.2510000000000006e-06
200	50	50	93.29304026284686	10000	1.156814795e-05
200	50	50	96.58832241158699	10000	2.596259e-06
200	50	50	100.0	10000	1.7644397000000002e-05
